senfi_number,shop_was_in_page,shop_img,shop_title,shop_url,shop_id,shop_selling_type,shop_all_products_target_url,cooperation_status_with_emalls,name_of_person_in_charge,phone_number,shop_address,shop_email,shop_score,shop_social_media_handles,shop_recieved_date,shop_crawled_at,shop_current_city,shop_duration_of_cooperation_with_emalls,shop_website,shop_Enamad_sign,images
,2,http://emalls.ir//files/shoplogo/hne0wpqudevx3gpg2gs25uans1teu48w3zpfdthnpdo7465kkv[medium].png,کافه گجت,https://emalls.ir//Shop/24582/,24582,اینترنتی و حضوری,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~24582,در حال همکاری با ایمالز,امیرحسین بیرنگ,۰۲۱۲۶۴۵۴۷۳۵,خیابان شهید سباری ( آجودانیه ) ، مجتمع تجاری اداری عرش ، طبقه اول ، واحد 96,amirbirang [at] yhaoo [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989120234383,https://t.me/cafegadgetadmin",سه شنبه ۲ بهمن,2025-01-21 16:37:11.890881+00:00,تهران - تهران,2 سال و 11 ماه و 15 روز,https://cafegadget.ir/,دارد (یک ستاره) معتبر تا 8 ماه و 21 روز,
,3,http://emalls.ir//files/shoplogo/cbhlox7mvasp3zw6vpvifrradhf414m35sbazwt87m5nppv6a4[medium].png,شین تتو,https://emalls.ir//Shop/24152/,24152,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~24152,در حال همکاری با ایمالز,فرهاد رمضانی,۰۲۱۹۱۰۳۵۰۱۵,تهران، محله: المهدی، خیابان امام رضا، بن بست سوم شرقی، ساختمان شهدای نهاجا، بلوک لاله 2، طبقه: اول، واحد: غربی،,farhad989 [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:37:12.213119+00:00,تهران - تهران,3 سال و 5 روز,https://shintatto.com/,دارد (یک ستاره),
,9,http://emalls.ir/src/shop-default.svg,کلبه کودک من,https://emalls.ir//Shop/40059/,40059,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~40059,در حال همکاری با ایمالز,سیده سمیه بهرام,۰۷۷۹۱۵۷۰۶۰۱,خیابان نسترن - کوچه ششم - پلاک ۶,info [at] kolbekoodakman [dot] ir,بدون امتیاز,"https://web.whatsapp.com/send?phone=989396736406,https://t.me/kkm24h,https://instagram.com/kolbekoodakman",سه شنبه ۲ بهمن,2025-01-21 16:37:12.318718+00:00,بوشهر - بندر بوشهر,1 سال و 26 روز,https://kolbekoodakman.ir/,دارد (یک ستاره) معتبر تا 10 ماه و 26 روز,
,10,http://emalls.ir/src/shop-default.svg,نیرو گستر,https://emalls.ir//Shop/33906/,33906,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~33906,در حال همکاری با ایمالز,بهزاد حاتمی,۰۲۱۶۶۷۴۱۰۵,میدان حسن آباد، خیابان امام خمینی (ره)، کوچه شهیدمحمدعلی سید صدری، پلاک: 24.0، مسکونی شماره 22، طبقه: 2، واحد: 7,bhatami1342 [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989215909686,https://instagram.com/nirogostar1402",سه شنبه ۲ بهمن,2025-01-21 16:37:12.421583+00:00,تهران - تهران,1 سال و 8 ماه,https://niro-gostar.ir/,دارد (صفر ستاره),
,11,http://emalls.ir//files/shoplogo/an6cuw7aeitgqzc767z02goig3ney8nioma8glfnfduasnnihw[medium].png,رزبوم,https://emalls.ir//Shop/28774/,28774,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~28774,در حال همکاری با ایمالز,Danial Hoseini,۰۲۱۷۷۳۸۳۶۷۴, محله: تهرانپارس، خیابان شهیدان مهدوی زفرقندی (196غربی)، میدان فلکه سوم تهرانپارس، پلاک: 0.0، طبقه: همکف,Danialice404 [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:37:12.535279+00:00,تهران - تهران,2 سال و 4 ماه و 10 روز,https://rosebom.ir/,دارد (یک ستاره) معتبر تا 5 ماه و 1 روز,
,4,http://emalls.ir/src/shop-default.svg,پردیس شبکه پارسیان,https://emalls.ir//Shop/44495/,44495,حضوری,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~44495,در حال همکاری با ایمالز,آرش دادگلی,۰۲۱۶۶۹۴۷۶۶۸,,arashdadgoli3 [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989195803080,https://t.me/https:%20%20t.me%20arash_dadgoli_09195803080,https://instagram.com/https:%20%20www.instagram.com%20pardis.shabake.parsian?igsh=MXJodG00dmR0azF0cQ==",سه شنبه ۲ بهمن,2025-01-21 16:37:12.757958+00:00,تهران - تهران,8 ماه و 8 روز,,,
,2,http://emalls.ir//files/shoplogo/qzg54862hdzhvu3pjejogxspndknc6bskheu5kiccze0m7qhw0[medium].png,آبان ابزار,https://emalls.ir//Shop/49232/,49232,اینترنتی و حضوری,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~49232,در حال همکاری با ایمالز,علیرضا زنده دل,۰۲۱۶۶۷۱۲۷۷۴,چهارراه حافظ - خیابان سی تیر - خیابان جمهوری اسلامی - مرکز تجاری امجد ,www [dot] alireza [dot] zdl54 [at] yahoo [dot] com,بدون امتیاز,https://web.whatsapp.com/send?phone=989124182117,سه شنبه ۲ بهمن,2025-01-21 16:37:13.022721+00:00,تهران - تهران,4 ماه و 26 روز,https://abanabzar.ir/, معتبر تا 1 سال و 3 ماه و 3 روز,
,3,http://emalls.ir/src/shop-default.svg,رزالین,https://emalls.ir//Shop/42478/,42478,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~42478,در حال همکاری با ایمالز,سینا تنومند خوشمهر,۰۴۱۳۳۸۲۹۶۵۰,محله: زعفرانیه، کوچه 12متری هفتم، کوچه 6 متری 15، پلاک: 35.0، طبقه: 5,roselen1919 [at] gmail [dot] com,بدون امتیاز,https://web.whatsapp.com/send?phone=989142828387,سه شنبه ۲ بهمن,2025-01-21 16:37:13.530407+00:00,آذربایجان شرقی - تبریز,10 ماه و 7 روز,https://roselen.net/,دارد (یک ستاره),
,11,http://emalls.ir//files/shoplogo/hsdef1iot866u62onk7p3drjn7k3mlruxliwgkxsntjbluxbr4[medium].png,اس آر کالا,https://emalls.ir//Shop/19062/,19062,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~19062,در حال همکاری با ایمالز,محمد رضا رحیمی,۰۷۱۳۸۳۰۳۴۳۰,شمس، خیابان تحویلی، خیابان شهید حراف، پلاک: 0.0، طبقه: همکف,srkala [dot] onlineshop [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:37:13.638695+00:00,فارس - شیراز,3 سال و 8 ماه و 4 روز,https://srkala.com/,دارد (یک ستاره),
,5,http://emalls.ir//files/shoplogo/phmt0vcs3hzpw5ofwe52t125ewmdu43i0dhhot1y7ft7cajo7j[medium].png,تیمیس,https://emalls.ir//Shop/1766/,1766,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~1766,در حال همکاری با ایمالز,مجید حیدری,۰۹۳۵۴۵۰۰۵۲۹,تهران - میدان دریاچه شهدای خلیج فارس ، بلوار جوزانی غربی ، بلوار مظفر ، خیابان هامون ، برج آسمان 1 داخل لابی فروشگاه اینترنتی تیمیس,timis [dot] ir20 [at] yahoo [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989354500529,https://instagram.com/timis_ir",سه شنبه ۲ بهمن,2025-01-21 16:37:14.120049+00:00,تهران - تهران,6 سال و 3 ماه و 8 روز,https://timis.ir/,دارد (یک ستاره) معتبر تا 8 ماه و 24 روز,
,5,http://emalls.ir//files/shoplogo/alngtfpdnqj1o2i23u1ha733345ys8etvzf43ubjlvrml5i5b3[medium].png,الکترومهسان,https://emalls.ir//Shop/25948/,25948,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~25948,در حال همکاری با ایمالز,الکاتور ,۰۲۱۶۵۳۵۶۰۸۴,فاز4-ساختمان ارغوان طبقه 3- واحد 281,elcator [at] yahoo [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:37:14.347429+00:00,تهران - شهریار,2 سال و 8 ماه و 28 روز,https://electromahsan.com/,دارد (یک ستاره),
,10,http://emalls.ir//files/shoplogo/eluxfmwol6j06gdvoidd5divzh53kw4jpicja467hazwgxwm44[medium].png,طب واره,https://emalls.ir//Shop/38292/,38292,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~38292,در حال همکاری با ایمالز,رضا همتيان,۰۳۱۳۲۳۴۲۴۰۹ - ۰۳۱۳۳۴۵۲۵۱۰,آهنگران، کوچه معماریان، بن بست گل زنبق، پلاک: 6.0، طبقه: همکف,mehdi_giahy [at] yahoo [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:37:14.456256+00:00,اصفهان - اصفهان,1 سال و 2 ماه و 21 روز,http://tebvare.ir,دارد (یک ستاره) معتبر تا 4 ماه و 19 روز,
,4,http://emalls.ir//files/shoplogo/g7388ajnw751iemfiapn3jr81pnxvocttkiw4fqs37m4wgdelr[medium].png,لوبه چی,https://emalls.ir//Shop/43327/,43327,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~43327,در حال همکاری با ایمالز,پریسا رشیدی نژاد,۰۹۳۸۵۵۲۶۱۵۶,شهرک نفت ، خیابان زاگرس، خیابان سبلان، پلاک: 0.0، نرگس، بلوک نرگس، طبقه: 2، واحد: 24,parisarashidinezhad [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989385526156,https://t.me/lobechi,https://instagram.com/lobechi_shop,https://ble.ir/lobechi,https://eitaa.com/lobechi",سه شنبه ۲ بهمن,2025-01-21 16:37:14.776953+00:00,تهران - تهران,9 ماه و 5 روز,https://lobechi.com/,دارد (یک ستاره) معتبر تا 1 سال و 2 ماه و 5 روز,
,2,http://emalls.ir//files/shoplogo/3lar4c1b3d1kj5s07gnikylu50kw3cfqqqlvbiz4q61wgz21bg[medium].jpg,ونش,https://emalls.ir//Shop/44275/,44275,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~44275,در حال همکاری با ایمالز,مهدی همت آبادی,۰۲۱۳۳۶۵۶۶۵۳,افسریه، خیابان شهید علیرضا سوئیزی (15متری سوم)، خیابان شهید تقی میرزائی (39)، پلاک: 26.0، طبقه: 3،,Vansh [dot] ir [dot] center [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989193013099,https://t.me/MHMT69,https://instagram.com/vansh.ir,https://eitaa.com/Mhmt69,https://rubika.ir/mehdi_hmt69",سه شنبه ۲ بهمن,2025-01-21 16:37:15.082057+00:00,تهران - تهران,8 ماه و 13 روز,https://vansh.ir/,دارد (یک ستاره) معتبر تا 1 سال و 1 ماه و 1 روز,
,3,http://emalls.ir/src/shop-default.svg,کفش امیتیس,https://emalls.ir//Shop/44916/,44916,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~44916,در حال همکاری با ایمالز,سید علی رجایی اصفهانی,۰۹۳۰۸۵۵۰۰۵۷,امام زاده اسماعیل - کوچه مسجدخان[لت احمدآباد] - بن بست سیمین-بن((سید عباس رجائی)) - پلاک : -16.0 - طبقه : همکف,ali [dot] rajaiy78 [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989305493442,https://instagram.com/https:%20%20www.instagram.com%20amitis_shoes_?utm_source=qr&igsh=MzNlNGNkZWQ4Mg==",سه شنبه ۲ بهمن,2025-01-21 16:37:15.483106+00:00,اصفهان - اصفهان,8 ماه و 2 روز,https://amitisshoes.ir/,دارد (یک ستاره) معتبر تا 1 سال و 3 ماه و 5 روز,
,10,http://emalls.ir//files/shoplogo/g5vddr5turfmdpdw303r87dxq3i0f0nw6nwy0edr57u8syvub5[medium].png,نوشاپ ایران,https://emalls.ir//Shop/40430/,40430,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~40430,در حال همکاری با ایمالز,فرزاد قادرپور,۰۷۱۵۲۶۲۵۸۵۵,بوستان، کوچه 12 خاتم االانبیاء، بلوار خاتم الانبیاء، پلاک: 0.0، طبقه: همکف,noowshop [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989160988826,https://instagram.com/noowshop_iran",سه شنبه ۲ بهمن,2025-01-21 16:37:15.588739+00:00,فارس - خنج,1 سال و 15 روز,https://noowshop.com/,دارد (یک ستاره),
,4,http://emalls.ir//files/shoplogo/1yns8meacqm5dlvuowh402moytdg57ruj3nxqownqqaatkr575[medium].png,اُکافی مارکت,https://emalls.ir//Shop/23377/,23377,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~23377,در حال همکاری با ایمالز,omid bozorgi,۰۲۱-۵۵۵۲۶۸۲۴,تهران ویلا، خیابان شهید سید محسن کلوپ، خیابان شهید امیر منصور کلوپ (18)، پلاک: -28.0، طبقه: اول،,omidbozorgi [at] yahoo [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:37:16.383788+00:00,تهران - تهران,3 سال و 1 ماه و 9 روز,https://ocoffeemarket.com/,دارد (یک ستاره) معتبر تا 5 ماه و 21 روز,
,12,http://emalls.ir//files/shoplogo/ak1sk4nnz4urppia7cpcp87srdx3xje8tnqgq7df5j6w2ss02u[medium].png,مونوبن گالری,https://emalls.ir//Shop/35222/,35222,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~35222,در حال همکاری با ایمالز,ابوالفضل گرشاسبی,۰۲۱۵۵۴۵۰۷۳۶,دولتخواه جنوبی ، خیابان گلبرگ ، خیابان شهید محسن بهلولی(42)، پلاک: 0.0، گلسار، بلوک a3، طبقه: 2، واحد: 203 ,monobongallery [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:37:16.488385+00:00,تهران - تهران,1 سال و 6 ماه و 12 روز,https://monobon.ir/,دارد (یک ستاره) معتبر تا 4 ماه و 24 روز,
,5,http://emalls.ir//files/shoplogo/mnkq78bt1glbdeafiea2badowcj8xwjagkh2nq5bblvbl7tm5c[medium].png,ایده سافت,https://emalls.ir//Shop/7857/,7857,اینترنتی,,در حال همکاری با ایمالز,مهدی مهدوی,۰۲۱۳۳۲۰۲۴۹۸,"تهران تهران بخش مرکزی ، شهر تهران، محله ربذه ، کوچه شهید رضا مرادی (18) ، خیابان ربذه ، پلاک 83 ، طبقه همکف
",idehsoft [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:37:16.789225+00:00,تهران - تهران,3 سال و 10 ماه و 8 روز,https://idehsoft.com/,دارد (یک ستاره),
,2,http://emalls.ir/src/shop-default.svg,برق غزنوی,https://emalls.ir//Shop/26355/,26355,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~26355,در حال همکاری با ایمالز,علیرضا غزنوی,۰۵۱۳۷۲۸۸۴۰۵,سرافراز۱۲ پلاک۴۲ واحد۶,ghaznavielectric [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989036208788,https://t.me/ghaznavielectric,https://instagram.com/ghaznavielectric,https://ble.ir/ghaznavielectric,https://eitaa.com/ghaznavielectric,https://rubika.ir/ghaznavielectric",سه شنبه ۲ بهمن,2025-01-21 16:37:16.898374+00:00,خراسان رضوی - مشهد,2 سال و 8 ماه و 4 روز,https://ghaznavielectric.com/,دارد (صفر ستاره),
,3,http://emalls.ir/src/shop-default.svg,لوازم آشپزخانه ماه صنم,https://emalls.ir//Shop/49390/,49390,اینترنتی,,در حال همکاری با ایمالز,محمدرضا ظهیری,۰۱۱۵۴۶۲۲۴۱۲,عباس اباد قبل از پل کاظمرود،فر‌وشگاه لوازم آشپزخانه ماه صنم,mr [dot] zahiri65 [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989901260024,https://instagram.com/mahsanam.store",سه شنبه ۲ بهمن,2025-01-21 16:37:18.379454+00:00,مازندران - عباس‌آباد,4 ماه و 23 روز,https://mahsanam.shop/,دارد (یک ستاره) معتبر تا 1 سال و 6 ماه و 27 روز,
,4,http://emalls.ir//files/shoplogo/0n46aatbxbg377s4klnlf4httfsajexjwz7ml1uup3au51b0m7[medium].png,مدیک سلامت,https://emalls.ir//Shop/18969/,18969,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~18969,در حال همکاری با ایمالز,علی عزیزی,۰۱۳۳۳۴۷۲۵۸۱,فلکه گاز کوچه عمادیه کوچه رامین طبقه همکف,Aliazizi [dot] ag [at] gmail [dot] com,بدون امتیاز,https://instagram.com/medicsalamat.ir,سه شنبه ۲ بهمن,2025-01-21 16:37:18.599604+00:00,گیلان - رشت,3 سال و 8 ماه و 8 روز,https://medicsalamat.ir/,دارد (یک ستاره) معتبر تا 3 ماه و 11 روز,
,2,http://emalls.ir//files/shoplogo/p6h2h5cyn237pc8nr74bvkdzrlfr8khrdjqcxy7pkk27vkrtsh[medium].png,کالای خواب گالری کیش,https://emalls.ir//Shop/22255/,22255,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~22255,در حال همکاری با ایمالز,محسن پیری,۰۳۱۳۴۴۷۰۱۶۹,محله شهشهان ، کوچه مسجدآقانور[27] ، خیابان ابن سینا ، پلاک -354 ، طبقه همکف,piirimohsen [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:37:19.320074+00:00,اصفهان - اصفهان,3 سال و 3 ماه و 3 روز,https://gallerykish.com/,دارد (یک ستاره) معتبر تا 1 ماه و 18 روز,
,10,http://emalls.ir//files/shoplogo/zu7gncs234xb32woadl1netv3qdq7bc6xda1e0gbi8r1vi4tdt[medium].jpg,پترو پژوهش خاورمیانه,https://emalls.ir//Shop/33852/,33852,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~33852,در حال همکاری با ایمالز,بهنام سهرابی,۰۲۱۷۷۱۳۰۶۸۸,خیابان هنگام، خیابان فرجام، خیابان ۳۹ (نبش)، ساختمان آرین، پلاک ۸۴۰/۵، طبقه دوم، واحد ۶. ,info [at] kalandt [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:37:19.423938+00:00,تهران - تهران,1 سال و 8 ماه و 1 روز,https://ppkgroup.co/,دارد (یک ستاره),
,3,http://emalls.ir//files/shoplogo/7kedyb2sgd435vudlfwdfu4o6g2xgx17s6d7wdx1gnmogf3mgm[medium].png,عمارت مدرن,https://emalls.ir//Shop/24150/,24150,اینترنتی,,در حال همکاری با ایمالز,محمد رجبی تبریزی,۰۲۱۲۲۳۳۹۷۸۰,"بزرگراه رسالت خیابان بنی هاشم نبش بن بست کاج پلاک 132
",mohammadrajabi22 [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:37:20.013984+00:00,تهران - تهران,3 سال و 5 روز,https://emaratmodern.ir/,دارد (صفر ستاره),
,4,http://emalls.ir/src/shop-default.svg,پخش روغن خیری,https://emalls.ir//Shop/44494/,44494,حضوری,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~44494,در حال همکاری با ایمالز,سید محمد حسین خیری گشتی,۰۶۱۳۲۲۲۳۴۵۱,,mohammadhussein09 [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:37:20.350220+00:00,خوزستان - اهواز,8 ماه و 8 روز,,,
,5,http://emalls.ir//files/shoplogo/3wx4ctihhse5n5abe7vq3ibfyogqrpxp2yogy4gkks8s2sr41n[medium].png,روزبرند,https://emalls.ir//Shop/39600/,39600,اینترنتی,,در حال همکاری با ایمالز,قدیر محمدی,۰۴۴۳۶۴۴۸۷۸۱, محله: جانبازان، کوچه حافظ، کوچه حافظیه9، پلاک: 0.0، طبقه: 1,khoyimi [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:37:20.704153+00:00,آذربایجان غربی - خوی,1 سال و 1 ماه و 9 روز,https://roozbrand.com/,دارد (یک ستاره) معتبر تا 7 ماه و 20 روز,
,10,http://emalls.ir//files/shoplogo/5t4cosjkyjrn2l1jqftnagwy65g06wxtbuzy6atasnxogcvc4a[medium].png,دنیای ساعت ایرانمال,https://emalls.ir//Shop/21301/,21301,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~21301,در حال همکاری با ایمالز,پیمان نوش مهر,۰۲۱۴۷۶۷۲۷۳۷,تهران انتهای اتوبان همت غرب ایرانمال باغ ماهان واحد RC136,nooshmehr4471 [at] gmail [dot] com,بدون امتیاز,"https://web.whatsapp.com/send?phone=989123643482,https://instagram.com/donyayesaat_iranmall",سه شنبه ۲ بهمن,2025-01-21 16:37:20.834553+00:00,تهران - تهران,3 سال و 4 ماه و 23 روز,https://saatmall.com/,دارد (یک ستاره) معتبر تا 4 ماه و 11 روز,
,2,http://emalls.ir/src/shop-default.svg,بازرگانی نیلان,https://emalls.ir//Shop/49227/,49227,حضوری,,در حال همکاری با ایمالز,امیررضا یعقوبی,۰۱۱۳۳۲۱۲۷۳۶,,amirrya [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:37:21.248934+00:00,مازندران - ساری,4 ماه و 26 روز,,,
,3,http://emalls.ir/src/shop-default.svg,گز و شیرینی آریا,https://emalls.ir//Shop/42477/,42477,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~42477,در حال همکاری با ایمالز,شیرین آریا,۰۳۱۳۶۶۹۰۰۳۲,اصفهان، ميدان آزادی، خيابان هزارجريب، نبش کوچه 8,info [at] aryagaz [dot] ir,بدون امتیاز,"https://web.whatsapp.com/send?phone=989135481981,https://instagram.com/aryagaz.ir",سه شنبه ۲ بهمن,2025-01-21 16:37:21.523777+00:00,اصفهان - اصفهان,10 ماه و 7 روز,https://aryagaz.ir/,دارد (یک ستاره) معتبر تا 1 ماه,
,4,http://emalls.ir//files/shoplogo/f1kajj8x84z17uuuxbzow71y2n2fmpusz240ulnu8f0i0g65av[medium].jpg,اسپاداناشاپ,https://emalls.ir//Shop/27508/,27508,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~27508,در حال همکاری با ایمالز,حامد فدوی حسینی,۰۳۱۳۲۲۰۹۹۱۷,محله: نقش جهان، کوچه بازارمنجم [قهوه کاشی ها]، کوچه ساروتقی، پلاک: -172.0، قصر مشیر، طبقه: همکف، واحد: 114,espadanashop [dot] com [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:37:21.802343+00:00,اصفهان - اصفهان,2 سال و 6 ماه و 8 روز,https://espadana.shop/,دارد (یک ستاره),
,5,http://emalls.ir//files/shoplogo/vdxtmc2am3ieadz7fszbk2zxo5odxtdz0o6gvxmaswx057ixdb[medium].png,شیک بگ,https://emalls.ir//Shop/1746/,1746,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~1746,در حال همکاری با ایمالز,محمد رحیم زاده,۰۱۷۳۲۲۲۴۸۱۹, گلستان، شهرستان : گرگان، بخش : مرکزی، شهر: گرگان، محله: شالیکوبی غربی(شالیکوبی)، کوچه عدالت 11[تختی5]، خیابان ولی عصر، پلاک: 0.0، ساختمان امیر کبیر، طبقه: سوم، واحد: 73،,info [at] shikbag [dot] com	,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:37:22.106362+00:00,گلستان - گرگان,6 سال و 3 ماه و 19 روز,https://shikbag.com/,دارد (یک ستاره),
,3,http://emalls.ir//files/shoplogo/ebfb72uowt86ij4vlgi7qu07b5tla04vwko0h5gzkoneosvw00[medium].jpg,رومودسلامت ,https://emalls.ir//Shop/25543/,25543,اینترنتی,,در حال همکاری با ایمالز,میلاد معینی,۰۲۱۴۴۲۱۵۰۵۴,مرزداران خدجانبازان‌خ ایثار مجتمع مروارید ورودی ۸ واحد ۱۲,Miladmoeini74 [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:37:22.619030+00:00,تهران - تهران,2 سال و 9 ماه و 19 روز,https://healthmood.ir/,دارد (یک ستاره),
,4,http://emalls.ir//files/shoplogo/fsgamot7jeuqxsu3dgpe5apzk52xh18yg6qa8aujpfay1zvyek[medium].png,نانوسان شاپ,https://emalls.ir//Shop/29979/,29979,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~29979,در حال همکاری با ایمالز,عرفان گائینی,۰۲۱۷۷۵۷۲۷۰۵,"تهران تهران استان: تهران، شهرستان : تهران، بخش : مرکزی، شهر: تهران، محله: خواجه نظام الملک، خیابان شهید اجاره دار، کوچه شهید مرتضی تیموری، پلاک: 104.0، طبقه: 1،
",erfangaeini5 [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:37:22.918040+00:00,تهران - تهران,2 سال و 2 ماه و 7 روز,https://nano-sun.ir/,دارد (یک ستاره),
,5,http://emalls.ir//files/shoplogo/62p3dfhx4hmp0i4qkjzwpyzrz8mojd5w1dosgukc33l0w81yol[medium].png,کتابسرای میردشتی,https://emalls.ir//Shop/25943/,25943,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~25943,در حال همکاری با ایمالز,رضا جهان‌آبادی,۰۲۱۶۶۴۹۰۶۶۰,خیابان انقلاب – خیابان فخر رازی – بعد از تقاطع لبافی‌نژاد – نبش کوچه‌ی ماستری فراهانی – پلاک ۱۱ – طبقه اول – واحد ۱ ,mirdashtibookstore [at] gmail [dot] com,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:37:23.609780+00:00,تهران - تهران,2 سال و 8 ماه و 28 روز,https://mirdashti.ir/,دارد (یک ستاره) معتبر تا 4 ماه و 23 روز,
,10,http://emalls.ir//files/shoplogo/hwwjlnvh708pnls0zz1rdzelwrmq70mp3mn6jq6kdi6pszufhr[medium].png,تامین هوشمند,https://emalls.ir//Shop/33905/,33905,اینترنتی,/%d9%84%db%8c%d8%b3%d8%aa-%d9%82%db%8c%d9%85%d8%aa~shop~33905,در حال همکاری با ایمالز,سیداحمد سیف الحسینی,۰۳۴۳۲۴۷۷۷۹۹,محله: آزادی، کوچه استقلال 5، کوچه شهید بهشتی 2، پلاک: 18.0، طبقه: همکف,info [at] is-eco [dot] ir,بدون امتیاز,,سه شنبه ۲ بهمن,2025-01-21 16:37:23.745682+00:00,کرمان - کرمان,1 سال و 8 ماه,http://is-eco.ir/,دارد (یک ستاره) معتبر تا 3 ماه و 26 روز,
